"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
"0",1,0,1,"nn","    ",8071.3171,0.0005,0.0,0.0,"B-",782.346,0.001,1.0086649158,0.0005,"613.9 s","1/2+",0.78234649,0.0,0.0,0.0
" ",0,1,1,"H  ","    ",7288.97061,9e-05,0.0,0.0,"  ","*","*",1.00782503224,9e-05,"stable","1/2+",0.0,-1.80434649,-0.78234649,0.0
"0",1,1,2,"H  ","    ",13135.72176,0.00011,1112.283,0.0,"  ","*","*",2.01410177811,0.00012,"stable","1+",0.0,0.0,0.0,0.0
"0",2,1,3,"H  ","    ",14949.80993,0.00022,2827.265,0.0,"B-",18.592,0.0,3.01604928199,0.00023,"12.32 y","1/2+",0.018592,0.0,0.0,0.0
" ",1,2,3,"He ","    ",14931.21793,0.00021,2572.68,0.0,"  ","*","*",3.01602932265,0.00022,"stable","1/2+",-13.73878207,-1.040592,-0.018592,0.0
" ",0,3,3,"Li "," -pp",28670.0,2000.0,-2270.0,670.0,"B+",13740.0,2000.0,3.03078,2150.0,"None","None",0.0,12.71678207,13.73878207,0.0
"0",3,1,4,"H  ","  -n",24620.0,100.0,1720.0,25.0,"B-",22200.0,100.0,4.02643,110.0,"None","None",22.19508439,0.0,0.0,0.0
" ",2,2,4,"He ","    ",2424.91561,6e-05,7073.915,0.0,"  ","*","*",4.002603254129999,6e-05,"stable","0+",-22.89508439,-23.21708439,-22.19508439,0.0
" ",1,3,4,"Li ","  -p",25320.0,210.0,1150.0,50.0,"B+",22900.0,210.0,4.02719,230.0,"None","None",0.0,21.87308439,22.89508439,0.0
"0",4,1,5,"H  "," -nn",32890.0,90.0,1336.0,18.0,"B-",21660.0,90.0,5.03531,100.0,"None","None",21.659,0.0,0.0,0.0
" ",3,2,5,"He ","  -n",11231.0,20.0,5512.0,4.0,"  ","*","*",5.012057,21.0,"0.648 mev","3/2-",-0.449,-22.681,-21.659,0.7347669
" ",2,3,5,"Li ","  -p",11680.0,50.0,5266.0,10.0,"B+",450.0,50.0,5.01254,50.0,"1.23 mev","3/2-",-25.46,-0.573,0.449,1.96611339
" ",1,4,5,"Be ","   x",37140.0,2000.0,20.0,400.0,"B+",25460.0,2000.0,5.03987,2150.0,"None","None",0.0,24.438,25.46,0.0
"0",5,1,6,"H  "," -3n",41880.0,250.0,960.0,40.0,"B-",24280.0,250.0,6.04496,270.0,"1.6 mev","(2-)",24.2879,0.0,0.0,0.0
" ",4,2,6,"He ","    ",17592.1,0.05,4878.519,0.009,"B-",3505.22,0.05,6.01888589,0.06,"806.7 ms","0+",3.5052211,-25.3099,-24.2879,0.0
" ",3,3,6,"Li ","    ",14086.8789,0.0014,5332.331,0.0,"  ","*","*",6.0151228874000005,0.0015,"stable","1+",-4.2881211,-4.5272211,-3.5052211,-1.47375886
" ",2,4,6,"Be ","   -",18375.0,5.0,4487.2,0.9,"B+",4288.0,5.0,6.019726,6.0,"92 kev","0+",-28.945,3.2661211,4.2881211,0.0
" ",1,5,6,"B  ","   x",47320.0,2000.0,-470.0,330.0,"B+",28950.0,2000.0,6.0508,2150.0,"None","None",0.0,27.923,28.945,0.0
"0",6,1,7,"H  "," -nn",49140.0,1000.0,940.0,140.0,"B-",23060.0,1000.0,7.05275,1080.0,"None","None",23.067,0.0,0.0,0.0
" ",5,2,7,"He ","  -n",26073.0,8.0,4123.1,1.1,"B-",11166.0,8.0,7.027991,8.0,"150 kev","(3/2)-",11.165895,-24.089,-23.067,0.0
" ",4,3,7,"Li ","    ",14907.105,0.004,5606.439,0.001,"  ","*","*",7.016003437,0.005,"stable","3/2-",-0.861895,-12.187895,-11.165895,-2.46762093
" ",3,4,7,"Be ","    ",15769.0,0.07,5371.548,0.01,"B+",861.89,0.07,7.01692872,0.08,"53.22 d","3/2-",-11.908,-0.160105,0.861895,-1.58713393
" ",2,5,7,"B  "," p4n",27677.0,25.0,3559.0,4.0,"B+",11908.0,25.0,7.029712,27.0,"801 kev","(3/2-)",0.0,10.886,11.908,-3.417916
"0",6,2,8,"He ","    ",31609.68,0.09,3924.52,0.011,"B-",10663.88,0.1,8.033934389999999,0.1,"119.1 ms","0+",10.66388,0.0,0.0,0.0
" ",5,3,8,"Li ","    ",20945.8,0.05,5159.712,0.006,"B-",16004.13,0.06,8.02248625,0.05,"839.9 ms","2+",16.00413,-11.68588,-10.66388,-6.099116
" ",4,4,8,"Be ","  -a",4941.67,0.04,7062.435,0.004,"  ","*","*",8.0053051,0.04,"5.57 ev","0+",-17.97993,-17.02613,-16.00413,0.09183839
" ",3,5,8,"B  ","    ",22921.6,1.0,4717.15,0.12,"B+",17979.9,1.0,8.0246073,1.1,"770 ms","2+",-12.1424,16.95793,17.97993,-4.823316
" ",2,6,8,"C  ","    ",35064.0,18.0,3101.5,2.3,"B+",12143.0,18.0,8.037643,20.0,"230 kev","0+",0.0,11.1204,12.1424,0.0
"0",7,2,9,"He ","    ",40940.0,50.0,3349.0,5.0,"B-",15980.0,50.0,9.04395,50.0,"None","None",15.9851,0.0,0.0,0.0
" ",6,3,9,"Li "," -3n",24954.9,0.19,5037.768,0.021,"B-",13606.45,0.2,9.02679019,0.2,"178.3 ms","3/2-",13.60645,-17.0071,-15.9851,-10.360016
" ",5,4,9,"Be ","    ",11348.45,0.08,6462.668,0.009,"  ","*","*",9.01218307,0.08,"stable","3/2-",-1.06805,-14.62845,-13.60645,-2.307466
" ",4,5,9,"B  ","   -",12416.5,0.9,6257.07,0.1,"B+",1068.0,0.9,9.0133296,1.0,"0.54 kev","3/2-",-16.4945,0.04605,1.06805,-1.688416
" ",3,6,9,"C  "," -pp",28911.0,2.1,4337.42,0.24,"B+",16494.5,2.3,9.0310372,2.3,"126.5 ms","(3/2-)",0.0,15.4725,16.4945,-10.653916
"0",8,2,10,"He "," -nn",49200.0,90.0,2995.0,9.0,"B-",16140.0,90.0,10.05282,100.0,"300 kev","(0+)",16.147,0.0,0.0,0.0
" ",7,3,10,"Li ","  -n",33053.0,13.0,4531.4,1.3,"B-",20445.0,13.0,10.035483,14.0,"400 kev","",20.44551,-17.169,-16.147,-11.251916
" ",6,4,10,"Be ","    ",12607.49,0.08,6497.63,0.008,"B-",556.88,0.08,10.0135347,0.09,"1.51e+6 y","0+",0.556881,-21.46751,-20.44551,-7.409526
" ",5,5,10,"B  ","    ",12050.609,0.015,6475.083,0.002,"  ","*","*",10.012936862,0.016,"stable","3+",-3.648061,-1.578881,-0.556881,-4.4611859
" ",4,6,10,"C  ","    ",15698.67,0.07,6032.042,0.007,"B+",3648.06,0.07,10.016853220000002,0.08,"19.290 s","0+",-23.10133,2.626061,3.648061,-5.101246
" ",3,7,10,"N  ","  --",38800.0,400.0,3640.0,40.0,"B+",23100.0,400.0,10.04165,430.0,"None","None",0.0,22.07933,23.10133,-10.944916
"0",8,3,11,"Li ","   x",40728.3,0.6,4155.38,0.06,"B-",20551.1,0.7,11.0437236,0.7,"8.7 ms","3/2-",20.55113,0.0,0.0,-10.836616
