# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Guides and tutorials
latex;The unofficial LaTeX2e reference manual;latex/latex2e-help-texinfo/latex2e.pdf;
#latex-html;Hypertext Help with LaTeX commands;english/latex2e-html/index.html;basics
symbols;Comprehensive LaTeX Symbol List (a4);latex/comprehensive/symbols-a4.pdf;tutorial, introduction, basics, fonts
texguide;User's guide (LaTeX2e for authors);latex/base/usrguide.pdf;tutorial, introduction, basics
lehman;The Font Installation Guide;fonts/Type1fonts/fontinstallationguide.pdf;
dtxtut;How to Package Your LaTeX Package;latex/dtxtut/dtxtut.pdf;
gentle;A Gentle Introduction to TeX;plain/gentle/gentle.pdf;tutorial, introduction, basics
lshort;Not So Short Introduction to LaTeX;latex/lshort-english/lshort.pdf;tutorial, introduction, basics
uktugfaq;English FAQ from UK TUG;generic/FAQ-en/newfaq.pdf;tutorial, introduction, basics
pdftex;pdfTeX User Manual;pdftex/manual/pdftex-a.pdf;tutorial
#pdftexfaq;pdfTeX FAQ;pdftex/misc/pdfTeX-FAQ.pdf;f
#metafp;Experiences with Running Metafont and MetaPost;english/metafp/metafp.pdf;tutorial
#ttf;Using TrueType fonts with TeX and dvips;english/truetype/ttf-tetex.pdf;
#context1;Introduction to ConTeXt;context/base/mreadme.pdf; introduction, basics
#context2;ConTeXt Commands;context/base/manuals/setup-en.pdf;tutorial, introduction, basics
KOMAg;KOMA-Script User's Guide (german);latex/koma-script/scrguide.pdf;tutorial, introduction
eplain;Expanded Plain TeX;eplain/doc/eplain.pdf;tutorial, introduction, basics, reference, arrows, index, lists, layout, bibliography
etex;e-TeX Manual;etex/base/etex_man.pdf;tutorial, introduction, basics
AMSguide;User's Guide to AMS-TeX;amstex/base/amsguide.pdf;mathematics, math fonts, symbols
AMSinstr;AMS book/paper typesetting intructions;latex/amscls/instr-l.pdf;submissions
#catalogue;The TeX Catalogue Online;english/catalogue/index.html;
#ctan;CTAN sites;english/help/CTAN.sites;
@Fundamentals
TDS;TeX Directory Structure;generic/tds/tds.pdf;administration
kpathsea;kpathsea library manual;kpathsea/kpathsea.pdf;administration, configuration, fonts
cfgguide;LaTeX2e configuration guide;latex/base/cfgguide.pdf;tutorial, administration, format, hyphenation, fonts, graphics
fontinst;Font installation in TeX (fontinst);fonts/fontinst/manual/fontinst.pdf;encoding, metrics
tetex;teTeX manual;tetex/TETEXDOC.pdf;tutorial, administration, configuration, installation, package
web2c;Introduction to web2c;web2c/web2c.pdf;administration, programs
@Macro programming
clsguide;Class/package writing fundamentals;latex/base/clsguide.pdf;programming
ifthen;Conditional structures in LaTeX (ifthen);latex/base/ifthen.pdf;programming
at;New commands with the @ symbol (at);latex/mdwtools/at.pdf;programming
twoopt;Define commands with 2 optional arguments (twoopt);latex/oberdiek/twoopt.pdf;newcommand, macro, programming
doafter;TeX group handling (doafter);latex/mdwtools/doafter.pdf;programming
datenumber;Convert a date into a number (datenumber);latex/datenumber/doc.pdf;programming
#grnumalt;Convert Arabaic numeral to Athenian (grnumalt);latex/grnumalt/grnumalt.pdf;
binhex;Convert numbers into bin, oct and hex notation;generic/kastrup/binhex.pdf;
isodate;Switch between different date formats (isodate);latex/isodate/isodate.pdf;
localloc;Enhanced register allocation macros (localloc);latex/localloc/localloc.pdf;memory
everysel;Execute something after every new font loading (everysel);latex/ms/everysel.pdf;programming
everyshi;Execute something before page shipout (everyshi);latex/ms/everyshi.pdf;programming
stdclsdv;Get sectional divisioning of classes (stdclsdv);latex/stdclsdv/stdclsdv.pdf;programming
docstrip;Package documentation writing/formatting (docstrip);latex/base/docstrip.pdf;programming
xspace;Space control after macros (xspace);latex/tools/xspace.pdf;programming
sublabel;Subnumber LaTeX counters (sublabel);latex/preprint/sublabel.pdf;
trace;Tracing Macros (trace);latex/tools/trace.pdf;
somedefs;Use selected definitions of package (somedefs);latex/tools/somedefs.pdf;programming
bibtexhak;BIBTeX Hacker's Guide (bibtex);bibtex/base/btxhak.pdf;references, citations
modguide;Modifying LaTeX;latex/base/modguide.pdf;programming
@Accessory programs
dvips;Dvips: DVI to PostScript;dvips/dvips.pdf;PostScript, DVI, administration, configuration
dvipdfm;Dvipdfm: DVI to PDF;dvipdfm/dvipdfm.pdf;PDF, DVI
bibtexdoc;BIBTeX documentation (bibtex);bibtex/base/btxdoc.pdf;references, citations
index;MakeIndex: Index preparation;man/man1/mkindex.man1.pdf;
xindy;Xindy: new index processor;xindy/manual.html;
#texinfo;Texinfo;texinfo/texinfo.pdf;
web2c;Introduction to web2c;web2c/web2c.pdf;programs
@Fonts / Metafont
fontname;Fontname: Reference list of font names;fontname/fontname.pdf;tutorial
genfont1;Font selection in LaTeX;latex/base/fntguide.pdf;font selection
psnfss;LaTeX font packages for use with common PostScript fonts;latex/psnfss/psnfss2e.pdf;
plnfss;Font selection in plain TeX;plain/plnfss/plnfss.txt;
euler;AMS Euler fonts (euler);latex/euler/euler.pdf;mathematics
AMSfonts;AMS Fonts: User's Guide;fonts/amsfonts/amsfndoc.pdf;
#piff;Use of Common AMS fonts in LaTex;latex/piff/ams.dvi;
#ssqquote;Accessing Computer Modern Sans Serif fonts (ssqquote);latex/ssqquote/ssqquote.dvi;
astro;Astronomical symbols (astrosym);fonts/astro/astrosym.txt;
belleek;Belleek fonts (belleek);fonts/belleek/README;mathtime
braille;Braille symbols (braille);latex/braille/summary.pdf;
brushscr;BrushScript-Italic type1 font (brushscr);fonts/brushscr/AAA_readme.tex;
# chemsym;Chemical symbols (chemsym);latex/chemsym/chemsym.dvi;
beton;Concrete fonts (beton);latex/beton/beton.pdf;
bm;Bold math symbols (bm);latex/tools/bm.pdf;mathematics, sets
ocherokee;Typesetting Cherokee texts (ocherokee);omega/ocherokee/cherokee.pdf;
cmsuper;CM-Super font package;fonts/cm-super/README;
cmtt;CM typewriter encoding (cmtt);latex/mdwtools/cmtt.pdf;
dingbat;Dingbat fonts;fonts/dingbat/dingbat.pdf;
doublestroke;Doublestroke fonts for sets (doublestroke);fonts/doublestroke/dsdoc.pdf;mathematics
eufrak;Euler Fraktur fonts for math (eufrak);fonts/amsfonts/eufrak.pdf;
euscript;Euler Script/calligraphic fonts for math (euscript/eucal);fonts/amsfonts/euscript.pdf;
feyn;Feyn font for Feynman diagrams;fonts/feyn/feyn.pdf;
fourier;Extended Utopia fonts;fonts/fourier/fourier-doc-en.pdf;
# context4;Fonts in ConTeXt;context/manuals/mfonts.pdf;tutorial
inputenc;Input encoding (inputenc);latex/base/inputenc.pdf;
#lucidabr;LaTeX support for Lucida Bright fonts (lucidabr);latex/psnfssx/lucidabr.txt;
lmfonts;Latin Modern Type 1 fonts;fonts/lm/lm-info.pdf;lmodern, latin modern, Latin Modern
marvosym;Marvosym symbol fonts (marvosym);fonts/marvosym/marvodoc.pdf;
#mathtime;Math Time fonts (mathtime/mathpi);latex/mathtime/mathtime.txt;
#relsize;Relative font sizes (relsize);latex/ltxmisc/relsize.sty;-1-, scale
skt;Sanskrit for LaTeX (skt);latex/sanskrit/sktdoc.pdf;
